id,movie_id,title,imdb_index,kind_id,production_year,phonetic_code,episode_of_id,season_nr,episode_nr,note,md5sum
50296,3073486,No Reason,,7,,N625,50295,1,1,,72cf70f27ecd96d890b0190f76445585
50299,3073946,Desilu Playhouse,,2,1958,D2414,,,,,2c89938064d5ce8fedd4c82e09cef2b7
50300,3073946,Westinghouse Desilu Playhouse,,2,1958,W2352,,,,,2573c5b6bc240c131c47ac9c44f13bbc
50312,3074981,Whacko!,,2,1971,W2,,,,(UK) (eighth season title),408c3c4572f812c62d64a33d3e622ef1
50344,3078862,Treasure Hunt,,2,1952,T6265,,,,,e4629b592cb1438af73aedbedae487fd
50345,3079048,Occupation Unknown,,2,1950,O2135,,,,(USA) (working title),2aaf394e5986a9613be8a751d20a04ce
50378,3081223,Reg Grundy's Wheel of Fortune,,2,1959,R2653,,,,(Australia) (complete title),a73850510e36c728127d6037a982485e
50410,3090030,Double Life,,2,1953,D141,,,,(USA) (working title),5da807bd334904f9cbefad9a4833d1ef
50411,3090030,The Ray Bolger Show,,2,1953,R1426,,,,(new title),2f59192c077750f661e2f32a4006ae71
50420,3091540,Avventure in elicottero,,2,1957,A1536,,,,(Italy) (alternative title),ef47ab93f2eff3856f917fe5608bc840
50421,3091540,Copter Patrol,,2,1957,C1361,,,,(USA) (syndication title),a70d6f130e36e646310943cee1790a76
50536,3099027,Wie ich angefangen habe - Persönlichkeiten erzählen,,2,1957,W2521,,,,(West Germany) (premiere title),db22d167cda517bdb1849c662be4e5d0
50574,3102192,Tim McCoy's Wild West,,2,1950,T5243,,,,(USA) (complete title),b0e8c650e27367fb7b40fe97c6268280
50599,3104047,Le avventure di Guglielmo Tell,,2,1958,A1536,,,,(Italy) (imdb display title),8de0877865c03ccb976450e3da1da97a
50600,3104047,The Adventures of William Tell,,2,1958,A3153,,,,,b0911f8852505b851867971ca19bfc4b
50690,3108311,Deadline for Action,,2,1956,D3451,,,,(USA) (rerun title),407e45da3fb8ffc791c605fcf2eb3225
50692,3108466,The Wisdom Series,,2,1957,W2352,,,,,9870b7443cf9a98d520e4403862a75bd
