id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,correct_name,name_ratio,Number,Program Title,Program Type,Program Genre,Network,First Air Year,Last Air Year,Program Description
639928,decoy,nan,2,1957,nan,d2,nan,nan,nan,1957-????, decoy ,100,1970, decoy ,series, crime drama, syn.,1957,`958," patricia jones is a police woman with the 16th precinct of the police department of new york city. the term n.y.p.d. had not yet come into use. patricia, called casey, wears badge number 300 and earns $75 a week. hoods call casey ""a dame copper."" like the series naked city, decoy was filmed on the streets of new york and is quite realistic in its presentation; storylines capture the feel of the city at the time. casey is attractive and alluring but she is somewhat of a loner. she is totally dedicated to her job and she does suffer for it not only in long hours and dangerous cases, but she is shot at and she does take beatings from thugs; seeing her with a bruise or disheveled clothing and hair is not unusual. the series is ""presented as a tribute to the bureau of police women, police department, city of new york"" as seen in the opening theme. cast: beverly garland {patricia ""casey"" jones), frank campanella {lt. torry; a.k.a. lt. harris), bill quinn {det. ""mac"" mcgowan), edward holmes {captain doyle), ]o\\'a newton {lt. kendall), simon oakland {police lieutenant), jimmy little {homicide lieutenant) , lawrence fletcher {police lieutenant), al hinckley {police sergeant), barbara barrie {various roles). narrator: beverly garland. "
848449,escape,nan,2,1950,nan,e21,nan,nan,nan,1950-????, escape ,100,2424, escape ,series, anthology, cbs,1950,nan," live dramatizations that depict the plight of people caught in life and death situations and their desperate attempts to escape. the series, based on the radio program of the same title ran from january 5, 1950 to march 30, 1950. narrator: william conrad. announcer: jack mccoy, elliott lewis. "
2622003,the frances langford-don ameche show,nan,2,1951,nan,f6524,nan,nan,nan,1951-1952, the frances langford-don ameche show ,100,2834, the frances langford-don ameche show ,series, variety, abc,1951,1952," a potpourri of songs, comedy sketches and audience participation with actor don ameche and singer frances langford. the recurring comedy bit is ""the couple next door,"" which depicts the trials and tribulations of marriage with jack lemmon and cynthia stone. the skit became the basis for the series heaven for betsy. ward byron is the producer. cast: frances langford {hostess), don ameche {host), jack lemmon {husband; skit segment), cynthia stone {wife; skit segment) , neil hamilton {regular). orchestra: tony romano. "
2852399,those two,nan,2,1951,nan,t23,nan,nan,nan,1951-1953, those two ,100,8291, those two ,series, variety, nbc,1951,1953," a program of music, songs and performances by guests that is built around the antics of an accompanist (pinky) who is in love with a nightclub singer (vivian; later replaced by martha) who has no interest in him. cast: pinky lee {pinky), vivian blaine {vivian), martha stuart {martha). orchestra: harry lubin. "
1395761,"kukla, fran and ollie",nan,2,1947,nan,k2416,nan,nan,nan,1947-1957," kukla, fran and ollie ",100,4498," kukla, fran and ollie ",series, children," nbc, abc",1947,1957," the series, set against the background of the kuklapolitan theater, presents the antics of the kuklapolitans, a group of puppets created by burr tillstrom: kukla, the bald-headed, round-nosed little man; ollie, his friend, a scatterbrained dragon; beulah witch; madam ooglepuss; colonel crockie; cecil bill; dolores dragon; and mercedes rabbit. the series aired locally in chicago (1947-1979) then on nbc from november 12, 1949 to june 13, 1954; and on abc from september 6, 1954 to august 30, 1957. an announcer opens the show: ""here comes the fun, it's time for kukla, fran and ollie. martin tossi presents burr tillstrom, creator of kukla and ollie and all the kuklapolitan players, with fran allison in kukla, fran and ollie."" hostess: fran allison. puppeteervoices: burr tillstrom. regulars: carolyn gilbert, cesar giovannini. announcer: hugh downs. "
878108,eye witness,nan,2,1947,nan,e352,nan,nan,nan,1947-1948, eye witness ,100,2495, eye witness ,series, anthology, nbc,1953,nan," a live drama series of stories about people who witness accidents or crimes and come forward to testify. host-narrator: richard carlson. performers include: eva marie saint, richard coogan, vaughn taylor, beverly whitney, mercer macleod, nita talbot, robert webber, lee bowman, gene lyons, dorothy donohue, melville cooper, romney brent, james gregory, larry haines, barbara joyce, henry jones, rusty lane, jean carson, fay bainter, millard mitchell, michael evans, peter cappell, john newland, emlyn wiuiams, mary stewart, evelyn varden, sallie brophy. "
3051985,wanted,nan,2,1955,nan,w53,nan,nan,nan,1955-1956, wanted ,100,8883, wanted ,series, documentary, cbs,1955,1956," dramatizations based on incidents in the lives of criminals wanted by the fbi. programs recap their lives and update viewers as to their offenses. interviews are conducted with friends and family of those involved, and viewers who possess information regarding the subject are urged, under confidential protection, to inform the police or fbi. host-narrator: walter mcgraw. "
2543192,the big story,nan,2,1949,nan,b236,nan,nan,nan,1949-1959, the big story ,100,798, the big story ,series, anthology," nbc, syn.",1949,1957," ""stories from the big story newsstand. fact, not fiction, taken from official newspaper stories."" a series of dramatizations based on actual newspaper stories with the reporter whose story is used receiving $500. the series ran on nbc from september 16, 1949 to june 28, 1957; and in syndication beginning in october 1957. host-narrator: william sloane, ben grauer,norman rose, burgess meredith. music director: vladimir selinsky, milton weinstein. "
2659439,the jonathan winters show,nan,2,1956,nan,j5353,nan,nan,nan,1956-1957, the jonathan winters show ,100,4229, the jonathan winters show ,series, comedy, nbc,1956,1957, comedian jonathan winters hosts a weekly program of comedy skits with the songs provided by the group the platters. 
2820993,the whistler,nan,2,1954,nan,w2346,nan,nan,nan,1954-????, the whistler ,100,9043, the whistler ,series, anthology, syn.,1954,nan," ""i am the whistler. and 1 know many things for i walk by night. i know many strange tales hidden in the hearts of men and women who have stepped into the shadows. yes, 1 know the nameless terrors of which they dare not speak."" stories of people who are suddenly caught in a destructive web of their own misdeeds. the whistler, who is identified by the mournful whistling of the theme music, is never seen. his observations concerning the actions of the individuals prevail throughout each drama. based on the radio series of the same title. the whistler (narrator): bill forman. theme music: ""the whistler"" by wilbur hatch. theme song whistling: dorothy roberts. "
491246,code 3,nan,2,1957,nan,c3,nan,nan,nan,1957-????, code 3 ,100,1551, code 3 ,series, crime drama, syn.,1956,nan," the series relates the work of police officers as seen through the eyes of george barnett, the assistant sheriff of los angeles county, california (the title refers to police emergencies). eugene w. biscailuz, the actual sheriff of los angeles county, appears to summarize each episode (39 episodes were produced). cast: richard travis {sheriff barnett), denver pyle {sergeant murchison), fred wynn {lt billhollis). sheriff eugene w. biscailuz {himself). "
940347,ford star revue,nan,2,1950,nan,f6323,nan,nan,nan,1950-????, ford star revue ,100,2794, ford star revue ,series, variety, nbc ,1950,1951," a weekly program of music, songs and comedy sketches sponsored by the ford motor company. sylvia friedlander is the producer. host: jack haley. regulars: mindy carson, the continentals, the mellolarks, the ted adolphus dancers. orchestra: carl hoff, david broekman. "
2298078,sit or miss,nan,2,1950,nan,s3652,nan,nan,nan,1950-????, sit or miss ,100,7480, sit or miss ,series, game, abc,1950,nan," a game based on ""musical chairs."" five players compete and each walks around four chairs. when a musical selection stops, each has to grab a chairand sit down. the players who are sitting each receive $10. the standing player is asked a question. if he answers it correctly he receives $10. if he cannot answer it correctly, he receives one more opportunity to win the money by performing a stunt. hostess: kay westfall. assistant: george sotos. "
2747676,the range rider,nan,2,1951,nan,r5263,nan,nan,nan,1951-1953, the range rider ,100,6713, the range rider ,series, western, syn.,1951,nan," a mysterious man, known only as the range rider, and his teenage sidekick, dick west, risk their lives to protect the people of old california during its lawless pioneering years. the range rider, is, in a way like the lone ranger (but without the mask). he appears to come from out of nowhere to help people threatened by unscrupulous characters. he (and dick) do what is necessary to resolve a situation and never accept money for their services. an announcer opens the show (following the song ""home on the range""): ""and who could be more at home on the range than the range rider, with his thrilling experiences, rivaling those of davy crockett, daniel boone, buffalo bill, and other pioneers of this wonderful country of ours. and dick west, the ail-american boy."" cast: jock mahoney {the range rider), dick jones {dick west). "
